x_factor,-1,,,"x (microns, relative to field pate centre, where x is in the North direction) and y (microns, relative to field plate centre) for the 4 positions.",,,,,,,,,,,,,"x (microns, relative to field pate centre, where x is in the North direction) and y (microns, relative to field plate centre) for the 4 positions.",,,,,,,,,,,,,
y_factor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Position 0,,,Position 1,,,Position 2,,,Position 3,,,,Position 0,,,Position 1,,,Position 2,,,Position 3,,,,
SUBPLATE_name,SUBPLATE_number,,,x,y,r,x,y,r,x,y,r,x,y,r,,x_old,y_old,r_old,x_old,y_old,r_old,x_old,y_old,r_old,x_old,y_old,r_old,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6,6,,,217.59649,-114.75089,246,213.17391,-112.41861,241.00012,211.40472,-111.48562,239,209.63565,-110.55268,237,,-114.75089,-217.59649,246,-112.41861,-213.17391,241.00012,-111.48562,-211.40472,239,-110.55268,-209.63565,237,,
H6,7,,,211.82333,-125.08747,246,207.51809,-122.54511,241.00013,205.79584,-121.52807,239,204.0737,-120.5111,237,,-125.08747,-211.82333,246,-122.54511,-207.51809,241.00013,-121.52807,-205.79584,239,-120.5111,-204.0737,237,,
H6,8,,,205.56035,-135.13306,246,201.3824,-132.38652,241.00013,199.71107,-131.28781,239,198.03985,-130.18916,237,,-135.13306,-205.56035,246,-132.38652,-201.3824,241.00013,-131.28781,-199.71107,239,-130.18916,-198.03985,237,,
H7,1,,,125.65343,-211.4881,246,123.09956,-207.18967,241.00013,122.07792,-205.47015,239,121.05635,-203.75073,237,,-211.4881,-125.65343,246,-207.18967,-123.09956,241.00013,-205.47015,-122.07792,239,-203.75073,-121.05635,237,,
H7,2,,,115.33232,-217.28888,246,112.98823,-212.87255,241.00013,112.05051,-211.10586,239,111.11285,-209.33928,237,,-217.28888,-115.33232,246,-212.87255,-112.98823,241.00013,-211.10586,-112.05051,239,-209.33928,-111.11285,237,,
H7,3,,,104.74407,-222.58634,246,102.61518,-218.06235,241.00013,101.76355,-216.25259,239,100.91197,-214.44294,237,,-222.58634,-104.74407,246,-218.06235,-102.61518,241.00013,-216.25259,-101.76355,239,-214.44294,-100.91197,237,,
H7,4,,,93.9132,-227.36823,346,92.00444,-222.74704,341.00013,91.24087,-220.8984,339,90.47735,-219.04988,337,,-227.36823,-93.9132,346,-222.74704,-92.00444,341.00013,-220.8984,-91.24087,339,-219.04988,-90.47735,337,,
H7,5,,,82.86479,-231.62346,246,81.18059,-226.91579,241.00013,80.50685,-225.03255,239,79.83315,-223.14943,237,,-231.62346,-82.86479,246,-226.91579,-81.18059,241.00013,-225.03255,-80.50685,239,-223.14943,-79.83315,237,,
H7,6,,,71.62444,-235.34217,246,70.1687,-230.55892,241.00013,69.58635,-228.64545,239,69.00404,-226.73209,237,,-235.34217,-71.62444,246,-230.55892,-70.1687,241.00013,-228.64545,-69.58635,239,-226.73209,-69.00404,237,,
H7,7,,,60.21819,-238.51576,246,58.99428,-233.66801,241.00013,58.50467,-231.72873,239,58.01509,-229.78958,237,,-238.51576,-60.21819,246,-233.66801,-58.99428,241.00013,-231.72873,-58.50467,239,-229.78958,-58.01509,237,,
H7,8,,,48.67392,-241.13658,246,47.68464,-236.23556,241.00013,47.28889,-234.27497,239,46.89317,-232.31451,237,,-241.13658,-48.67392,246,-236.23556,-47.68464,241.00013,-234.27497,-47.28889,239,-232.31451,-46.89317,237,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
